raceId,precipitation_mm,temp_max,wind_max,is_wet_race
869,0.0,19.6,13.4,0
870,7.1,32.3,13.2,1
871,0.0,19.2,8.5,0
872,0.0,26.9,6.4,0
873,5.9,28.2,10.6,1
874,0.0,24.2,17.6,0
875,0.0,22.6,17.7,0
876,0.0,28.0,9.5,0
877,0.0,33.2,21.7,0
878,0.0,22.2,14.6,0
879,16.2,21.7,22.4,1
880,1.6,16.0,28.9,1
881,6.3,29.5,8.7,1
882,0.0,25.7,20.9,0
883,0.0,27.7,39.5,0
884,2.2,17.7,15.2,1
885,0.0,17.1,10.7,0
886,0.3,23.2,19.9,0
887,0.0,21.2,25.2,0
888,0.0,22.7,14.7,0
890,0.0,34.6,16.6,0
891,2.7,17.6,11.4,1
892,8.6,24.1,14.2,1
893,1.7,29.4,16.4,1
894,2.7,25.9,21.2,1
895,0.0,24.0,19.3,0
896,0.0,29.4,12.3,0
897,0.0,35.6,19.7,0
898,0.0,29.0,19.4,0
899,9.4,21.0,16.8,1
900,0.9,20.0,21.3,0
901,3.3,30.6,12.6,1
902,0.0,24.0,23.7,0
903,0.0,17.7,15.1,0
904,0.0,21.3,20.6,0
905,0.3,19.4,8.7,0
906,0.0,27.4,13.2,0
907,0.2,23.3,7.0,0
908,0.0,18.5,18.4,0
909,1.9,27.5,16.3,1
910,6.5,27.0,14.5,1
911,0.3,14.8,16.4,0
912,0.0,24.5,8.7,0
913,1.2,28.8,12.9,1
914,18.1,21.6,15.5,1
915,0.0,23.2,5.7,0
916,0.0,23.3,21.1,0
917,1.4,22.8,16.5,1
918,0.0,30.5,17.3,0
931,0.2,19.4,9.8,0
932,0.0,20.6,20.4,0
929,0.0,26.3,33.4,0
930,0.0,25.9,17.9,0
928,0.0,19.4,16.9,0
926,0.4,18.7,21.2,0
927,2.6,30.5,8.9,1
933,2.7,16.5,11.8,1
934,0.5,20.3,24.2,0
936,0.0,25.7,25.8,0
937,10.3,24.8,25.1,1
938,0.0,22.4,11.6,0
939,3.3,29.0,10.1,1
940,1.0,26.2,10.7,0
941,0.4,18.2,9.7,0
942,8.2,18.7,30.2,1
943,7.1,20.3,6.5,1
944,1.2,25.1,15.4,1
945,0.0,28.7,20.9,0
948,0.0,21.2,17.3,0
949,0.0,22.3,13.8,0
950,1.5,20.9,19.9,1
951,0.0,14.9,9.3,0
952,0.0,19.5,14.1,0
953,11.2,20.7,15.0,1
954,1.3,14.9,27.1,1
955,0.0,27.9,30.1,0
956,1.4,17.1,8.8,1
957,1.3,20.6,27.5,1
958,0.1,27.8,10.4,0
959,1.6,22.9,15.2,1
960,0.2,24.8,20.4,0
961,0.0,27.5,10.8,0
962,6.8,29.1,14.6,1
963,0.0,31.3,14.7,0
964,17.0,22.9,26.2,1
965,0.0,27.6,15.1,0
966,1.6,19.6,13.8,1
967,17.0,18.2,14.4,1
968,0.0,30.4,20.8,0
969,0.0,23.7,11.6,0
970,6.9,13.1,23.5,1
971,0.0,29.3,41.1,0
972,0.0,24.2,10.5,0
973,0.1,23.5,13.7,0
974,0.0,27.0,10.0,0
975,0.3,28.0,36.5,0
976,0.0,28.0,25.7,0
977,0.4,27.8,9.2,0
978,1.6,22.5,19.8,1
979,0.0,29.7,13.3,0
980,0.3,22.6,11.5,0
981,0.0,23.2,18.9,0
982,14.5,29.4,22.2,1
983,14.3,30.2,11.1,1
984,0.0,24.4,9.7,0
985,36.9,25.7,28.5,1
986,0.1,22.9,16.0,0
987,0.0,26.6,15.6,0
988,0.0,25.6,23.2,0
989,4.4,23.4,39.8,1
990,0.0,32.0,22.5,0
991,0.0,18.3,15.2,0
992,0.5,20.1,45.8,0
993,19.5,16.0,17.3,1
994,0.4,28.0,20.6,0
995,0.0,19.8,13.0,0
996,0.0,23.5,15.1,0
997,0.0,19.5,12.3,0
998,0.0,29.0,20.3,0
999,2.0,26.8,13.2,1
1000,0.0,33.4,19.1,0
1001,3.1,17.0,23.3,1
1002,2.1,20.0,5.9,1
1003,1.2,29.3,22.0,1
1004,0.0,23.9,13.9,0
1005,0.0,26.5,18.7,0
1006,0.0,21.1,20.1,0
1007,1.0,20.2,14.3,0
1008,1.6,25.1,20.4,1
1009,0.6,32.8,33.1,0
1010,0.0,25.0,15.2,0
1011,0.0,29.8,39.5,0
1012,0.0,19.0,20.6,0
1013,0.0,17.5,28.5,0
1014,0.0,20.6,22.3,0
1015,1.1,21.5,7.9,1
1016,0.0,26.8,15.3,0
1017,0.0,27.9,13.5,0
1018,0.0,33.8,11.4,0
1019,1.1,20.0,16.7,1
1020,11.5,25.0,18.7,1
1021,0.1,23.2,14.5,0
1022,0.2,17.5,16.2,0
1023,69.0,19.8,21.3,1
1024,0.0,32.8,23.9,0
1025,1.4,20.3,11.6,1
1026,0.0,22.1,46.7,0
1027,12.2,20.9,11.4,1
1028,0.0,19.8,19.1,0
1029,0.0,20.7,26.5,0
1030,0.0,27.8,20.6,0
1031,0.0,26.6,8.9,0
1032,0.0,19.6,11.5,0
1033,6.6,21.5,15.8,1
1034,0.1,21.0,18.0,0
1035,0.0,27.7,22.7,0
1036,2.6,27.6,14.7,1
1037,8.5,17.0,20.9,1
1038,8.1,26.0,14.1,1
1039,0.0,30.1,15.5,0
1040,0.0,29.4,10.9,0
1041,0.2,8.7,15.8,0
1042,3.5,20.1,27.1,1
1043,0.0,18.5,10.7,0
1044,0.5,13.0,12.4,0
1045,0.2,27.9,28.0,0
1046,0.0,26.4,30.8,0
